symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-lpg,highway-mpg,price,price-binned,horsepower-binned,diesel,gas
3,122,alfa-romero,std,two,convertible,rwd,front,88.6,0.8111484863046613,0.32478632478632447,-2.0290145032580464,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,11.19047619047619,27,13495.0,Low,Low,0,1
3,122,alfa-romero,std,two,convertible,rwd,front,88.6,0.8111484863046613,0.32478632478632447,-2.0290145032580464,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,11.19047619047619,27,16500.0,Low,Low,0,1
1,122,alfa-romero,std,two,hatchback,rwd,front,94.5,0.8226814031715521,0.4444444444444446,-0.5583194270710061,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000.0,12.368421052631579,26,16500.0,Low,Medium,0,1
2,164,audi,std,four,sedan,fwd,front,99.8,0.8486304661220567,0.5042735042735046,0.21788075202770885,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500.0,9.791666666666666,30,13950.0,Low,Low,0,1
2,164,audi,std,four,sedan,4wd,front,99.4,0.8486304661220567,0.521367521367522,0.21788075202770885,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500.0,13.055555555555555,22,17450.0,Low,Low,0,1
2,122,audi,std,two,sedan,fwd,front,99.8,0.8519942335415667,0.5128205128205127,-0.27235094003463606,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,25,15250.0,Low,Low,0,1
1,158,audi,std,four,sedan,fwd,front,105.8,0.9259971167707832,0.9487179487179492,0.7898177261004489,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,25,17710.0,Low,Low,0,1
1,122,audi,std,four,wagon,fwd,front,105.8,0.9259971167707832,0.9487179487179492,0.7898177261004489,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,25,18920.0,Medium,Low,0,1
1,158,audi,turbo,four,sedan,fwd,front,105.8,0.9259971167707832,0.9487179487179492,0.8715230081108383,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500.0,13.823529411764707,20,23875.0,Medium,Medium,0,1
2,192,bmw,std,two,sedan,rwd,front,101.2,0.849591542527631,0.3846153846153845,0.21788075202770885,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,10.217391304347826,29,16430.0,Low,Low,0,1
0,192,bmw,std,four,sedan,rwd,front,101.2,0.849591542527631,0.3846153846153845,0.21788075202770885,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,10.217391304347826,29,16925.0,Low,Low,0,1
0,188,bmw,std,two,sedan,rwd,front,101.2,0.849591542527631,0.3846153846153845,0.21788075202770885,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.19047619047619,28,20970.0,Medium,Medium,0,1
0,188,bmw,std,four,sedan,rwd,front,101.2,0.849591542527631,0.3846153846153845,0.21788075202770885,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.19047619047619,28,21105.0,Medium,Medium,0,1
1,122,bmw,std,four,sedan,rwd,front,103.5,0.9082172032676598,0.5641025641025647,0.7898177261004489,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.75,25,24565.0,Medium,Medium,0,1
0,122,bmw,std,four,sedan,rwd,front,103.5,0.9082172032676598,0.5641025641025647,0.7898177261004489,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,14.6875,22,30760.0,Medium,Medium,0,1
0,122,bmw,std,two,sedan,rwd,front,103.5,0.9312830370014417,0.6495726495726502,-0.027235094003462152,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,14.6875,22,41315.0,High,Medium,0,1
0,122,bmw,std,four,sedan,rwd,front,110.0,0.9466602594906295,0.9059829059829065,1.03493357213162,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,15.666666666666666,20,36880.0,High,Medium,0,1
2,121,chevrolet,std,two,hatchback,fwd,front,88.4,0.6780394041326285,0.0,-0.2314982990294399,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100.0,5.0,53,5151.0,Low,Low,0,1
1,98,chevrolet,std,two,hatchback,fwd,front,94.5,0.7491590581451226,0.2820512820512823,-0.7217299910917877,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,6.184210526315789,43,6295.0,Low,Low,0,1
0,81,chevrolet,std,four,sedan,fwd,front,94.5,0.7630946660259491,0.2820512820512823,-0.7217299910917877,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,6.184210526315789,43,6575.0,Low,Low,0,1
1,118,dodge,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.2991452991452991,-1.2119616831541355,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500.0,6.351351351351352,41,5572.0,Low,Low,0,1
1,118,dodge,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.2991452991452991,-1.2119616831541355,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,38,6377.0,Low,Low,0,1
1,118,dodge,turbo,two,hatchback,fwd,front,93.7,0.7558865929841423,0.2991452991452991,-1.2119616831541355,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,9.791666666666666,30,7957.0,Low,Low,0,1
1,148,dodge,std,four,hatchback,fwd,front,93.7,0.7558865929841423,0.2991452991452991,-1.293666965164525,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,38,6229.0,Low,Low,0,1
1,148,dodge,std,four,sedan,fwd,front,93.7,0.7558865929841423,0.2991452991452991,-1.293666965164525,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,38,6692.0,Low,Low,0,1
1,148,dodge,std,four,sedan,fwd,front,93.7,0.7558865929841423,0.2991452991452991,-1.293666965164525,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,38,7609.0,Low,Low,0,1
1,148,dodge,turbo,four,sedan,fwd,front,93.7,0.7558865929841423,0.2991452991452991,-1.293666965164525,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,9.791666666666666,30,8558.0,Low,Low,0,1
-1,110,dodge,std,four,wagon,fwd,front,103.3,0.8390197020663143,0.3675213675213672,2.464776007313464,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000.0,9.791666666666666,30,8921.0,Low,Low,0,1
3,145,dodge,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,0.5128205128205127,-1.4570775291853064,2811,ohc,four,156,mfi,3.6,3.9,7.0,145,5000.0,12.368421052631579,24,12964.0,Low,Medium,0,1
2,137,honda,std,two,hatchback,fwd,front,86.6,0.6948582412301778,0.30769230769230776,-1.2119616831541355,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800.0,4.795918367346939,54,6479.0,Low,Low,0,1
2,137,honda,std,two,hatchback,fwd,front,86.6,0.6948582412301778,0.30769230769230776,-1.2119616831541355,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,7.580645161290323,38,6855.0,Low,Low,0,1
1,101,honda,std,two,hatchback,fwd,front,93.7,0.7208073041806824,0.3162393162393164,-0.47661414506061384,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500.0,6.184210526315789,42,5399.0,Low,Low,0,1
1,101,honda,std,two,hatchback,fwd,front,93.7,0.7208073041806824,0.3162393162393164,-0.47661414506061384,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,7.833333333333333,34,6529.0,Low,Low,0,1
1,101,honda,std,two,hatchback,fwd,front,93.7,0.7208073041806824,0.3162393162393164,-0.47661414506061384,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,7.833333333333333,34,7129.0,Low,Low,0,1
0,110,honda,std,four,sedan,fwd,front,96.5,0.7851994233541567,0.3162393162393164,0.2995860340381011,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,7.833333333333333,34,7295.0,Low,Low,0,1
0,78,honda,std,four,wagon,fwd,front,96.5,0.754925516578568,0.30769230769230776,1.8519863922355309,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000.0,7.833333333333333,34,7295.0,Low,Low,0,1
0,106,honda,std,two,hatchback,fwd,front,96.5,0.8049014896684287,0.4188034188034192,-0.19064565802424668,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,8.703703703703704,33,7895.0,Low,Low,0,1
0,106,honda,std,two,hatchback,fwd,front,96.5,0.8049014896684287,0.4188034188034192,-0.19064565802424668,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,8.703703703703704,33,9095.0,Low,Low,0,1
0,85,honda,std,four,sedan,fwd,front,96.5,0.8428640076886112,0.4188034188034192,0.13617547001731947,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,8.703703703703704,33,8845.0,Low,Low,0,1
0,85,honda,std,four,sedan,fwd,front,96.5,0.8428640076886112,0.18803418803418823,0.13617547001731947,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,8.703703703703704,33,10295.0,Low,Low,0,1
0,85,honda,std,four,sedan,fwd,front,96.5,0.8428640076886112,0.4188034188034192,0.13617547001731947,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800.0,9.791666666666666,28,12945.0,Low,Low,0,1
1,107,honda,std,two,sedan,fwd,front,96.5,0.8125901009130225,0.4871794871794873,-1.1302564011437433,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500.0,9.4,31,10345.0,Low,Low,0,1
0,122,isuzu,std,four,sedan,rwd,front,94.3,0.8202787121576165,0.12820512820512817,-0.10894037601385442,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800.0,9.791666666666666,29,6785.0,Low,Low,0,1
2,122,isuzu,std,two,hatchback,rwd,front,96.0,0.8294089380105718,0.4188034188034192,-0.9668458371229616,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000.0,9.791666666666666,29,11048.0,Low,Low,0,1
0,145,jaguar,std,four,sedan,rwd,front,113.0,0.9591542527630946,0.7948717948717945,-0.39490886305022443,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,15.666666666666666,19,32250.0,High,Medium,0,1
0,122,jaguar,std,four,sedan,rwd,front,113.0,0.9591542527630946,0.7948717948717945,-0.39490886305022443,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,15.666666666666666,19,35550.0,High,Medium,0,1
0,122,jaguar,std,two,sedan,rwd,front,102.0,0.921191734742912,0.8803418803418799,-2.437540913310002,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000.0,18.076923076923077,17,36000.0,High,High,0,1
1,104,mazda,std,two,hatchback,fwd,front,93.1,0.7645362806343105,0.33333333333333376,0.13617547001731947,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,7.833333333333333,31,5195.0,Low,Low,0,1
1,104,mazda,std,two,hatchback,fwd,front,93.1,0.7645362806343105,0.33333333333333376,0.13617547001731947,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,7.580645161290323,38,6095.0,Low,Low,0,1
1,104,mazda,std,two,hatchback,fwd,front,93.1,0.7645362806343105,0.33333333333333376,0.13617547001731947,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,7.580645161290323,38,6795.0,Low,Low,0,1
1,113,mazda,std,four,sedan,fwd,front,93.1,0.8015377222489188,0.33333333333333376,0.13617547001731947,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,7.580645161290323,38,6695.0,Low,Low,0,1
1,113,mazda,std,four,sedan,fwd,front,93.1,0.8015377222489188,0.33333333333333376,0.13617547001731947,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000.0,7.580645161290323,38,7395.0,Low,Low,0,1
3,150,mazda,std,two,hatchback,rwd,front,95.3,0.8121095627102355,0.4615384615384619,-1.7021933752164804,2380,rotor,two,70,4bbl,,,9.4,101,6000.0,13.823529411764707,23,10945.0,Low,Low,0,1
3,150,mazda,std,two,hatchback,rwd,front,95.3,0.8121095627102355,0.4615384615384619,-1.7021933752164804,2380,rotor,two,70,4bbl,,,9.4,101,6000.0,13.823529411764707,23,11845.0,Low,Low,0,1
