,Games played,Games started,Minutes per game,Field goal percentage,3-point field-goal percentage,Free-throw percentage,Rebounds per game,Assists per game,Steals per game,Blocks per game,Points per game
0,79.0,79.0,39.5,0.417,0.29,0.754,5.5,5.9,1.6,0.7,20.9
1,80.0,80.0,42.4,0.472,0.351,0.75,7.4,7.2,2.2,0.7,27.2
2,79.0,79.0,42.5,0.48,0.335,0.738,7.0,6.6,1.6,0.8,31.4
3,78.0,78.0,40.9,0.476,0.319,0.698,6.7,6.0,1.6,0.7,27.3
4,75.0,74.0,40.4,0.484,0.315,0.712,7.9,7.2,1.8,1.1,30.0
5,81.0,81.0,37.7,0.489,0.344,0.78,7.6,7.2,1.7,1.1,28.4
6,76.0,76.0,39.0,0.503,0.333,0.767,7.3,8.6,1.6,1.0,29.7
7,79.0,79.0,38.8,0.51,0.33,0.759,7.5,7.0,1.6,0.6,26.7
8,62.0,62.0,37.5,0.531,0.362,0.771,7.9,6.2,1.9,0.8,27.1
9,76.0,76.0,37.9,0.565,0.406,0.753,8.0,7.3,1.7,0.9,26.8
10,77.0,77.0,37.7,0.567,0.379,0.75,6.9,6.4,1.6,0.3,27.1
11,69.0,69.0,36.1,0.488,0.354,0.71,6.0,7.4,1.6,0.7,25.3
12,76.0,76.0,35.6,0.52,0.309,0.731,7.4,6.8,1.4,0.6,25.3
13,74.0,74.0,37.8,0.548,0.363,0.674,8.6,8.7,1.2,0.6,26.4
14,82.0,82.0,36.9,0.542,0.367,0.731,8.6,9.1,1.4,0.9,27.5
15,55.0,55.0,35.2,0.51,0.339,0.665,8.5,8.3,1.3,0.6,27.4
